election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,stat2011:50000544,statistical_area,stat2011:50000544,2011,50000544,544,loc:5000,5000,תל אביב -יפו,3,3,1964,1274,1269,5,אמת,489,400,89,0.385343,489,40,19,0,0,1,16,0,0,0,0,52,6,103,400,1,1,0,0,116,0,3,9,6,2,5
K20,stat2011:50000552,statistical_area,stat2011:50000552,2011,50000552,552,loc:5000,5000,תל אביב -יפו,1,1,775,433,430,3,אמת,155,121,34,0.360465,155,1,6,0,0,1,18,0,0,0,0,22,4,44,121,1,0,0,0,40,0,1,8,1,3,4
K20,stat2011:50000554,statistical_area,stat2011:50000554,2011,50000554,554,loc:5000,5000,תל אביב -יפו,3,2,1113,752,748,4,אמת,294,215,79,0.393048,294,35,9,0,0,0,13,0,0,0,0,31,4,70,215,0,0,0,0,57,0,1,5,3,0,11
K20,stat2011:50000555,statistical_area,stat2011:50000555,2011,50000555,555,loc:5000,5000,תל אביב -יפו,3,3,1876,1252,1250,2,אמת,492,312,180,0.3936,492,53,25,0,0,0,27,0,0,0,0,62,5,120,312,1,0,0,1,117,0,1,16,8,2,8
K20,stat2011:50000557,statistical_area,stat2011:50000557,2011,50000557,557,loc:5000,5000,תל אביב -יפו,3,3,1598,842,840,2,אמת,293,216,77,0.34881,293,5,22,0,0,0,14,0,0,0,0,47,19,115,216,2,0,0,0,77,0,0,24,3,0,3
K20,stat2011:50000611,statistical_area,stat2011:50000611,2011,50000611,611,loc:5000,5000,תל אביב -יפו,5,5,3034,2115,2114,1,אמת,791,623,168,0.374172,791,124,66,0,0,1,39,0,0,0,0,96,7,146,623,2,1,1,0,174,0,1,19,13,1,9
K20,stat2011:50000612,statistical_area,stat2011:50000612,2011,50000612,612,loc:5000,5000,תל אביב -יפו,3,3,1600,992,988,4,אמת,370,228,142,0.374494,370,19,24,0,0,0,18,0,0,0,0,45,7,128,228,0,0,0,0,128,0,0,11,3,0,7
K20,stat2011:50000626,statistical_area,stat2011:50000626,2011,50000626,626,loc:5000,5000,תל אביב -יפו,3,3,1556,937,931,6,אמת,321,154,167,0.344791,321,7,11,0,1,1,49,0,0,0,0,85,14,140,154,0,0,1,0,117,0,0,16,3,2,9
K20,stat2011:50000711,statistical_area,stat2011:50000711,2011,50000711,711,loc:5000,5000,תל אביב -יפו,3,3,1632,938,932,6,אמת,324,185,139,0.347639,324,4,65,0,0,1,24,0,0,0,0,53,55,117,185,0,0,1,2,68,0,1,14,6,2,10
K20,stat2011:50000712,statistical_area,stat2011:50000712,2011,50000712,712,loc:5000,5000,תל אביב -יפו,2,2,1530,921,916,5,אמת,339,265,74,0.370087,339,2,40,0,1,0,17,0,0,0,0,67,6,93,265,1,0,0,0,61,0,0,11,1,1,11
K20,stat2011:50000713,statistical_area,stat2011:50000713,2011,50000713,713,loc:5000,5000,תל אביב -יפו,1,1,546,245,243,2,אמת,71,55,16,0.292181,71,2,20,0,0,0,9,0,0,0,0,17,6,36,55,0,0,0,0,11,0,0,11,3,0,2
K20,stat2011:50000715,statistical_area,stat2011:50000715,2011,50000715,715,loc:5000,5000,תל אביב -יפו,1,1,620,564,558,6,מחל,139,122,17,0.249104,122,2,54,1,0,0,15,0,0,0,0,53,26,139,63,1,0,0,3,50,0,1,6,5,0,17
K20,stat2011:50000721,statistical_area,stat2011:50000721,2011,50000721,721,loc:5000,5000,תל אביב -יפו,2,2,918,356,352,4,אמת,124,63,61,0.352273,124,3,47,0,0,0,7,0,0,0,0,11,5,47,63,0,0,0,1,31,0,0,6,2,0,5
K20,stat2011:50000722,statistical_area,stat2011:50000722,2011,50000722,722,loc:5000,5000,תל אביב -יפו,1,1,459,259,258,1,ודעם,92,77,15,0.356589,77,0,92,0,0,0,2,0,0,0,0,10,4,14,39,0,0,0,3,14,0,0,2,1,0,0
K20,stat2011:50000723,statistical_area,stat2011:50000723,2011,50000723,723,loc:5000,5000,תל אביב -יפו,3,3,2158,1195,1181,14,ודעם,737,237,500,0.624047,237,0,737,1,0,0,5,0,0,0,0,10,2,29,123,0,0,0,5,18,1,0,6,2,1,4
K20,stat2011:50000724,statistical_area,stat2011:50000724,2011,50000724,724,loc:5000,5000,תל אביב -יפו,2,2,1347,775,761,14,ודעם,536,88,448,0.704336,88,1,536,0,0,0,1,0,0,0,0,8,33,26,40,1,0,0,4,13,0,1,2,2,1,4
K20,stat2011:50000725,statistical_area,stat2011:50000725,2011,50000725,725,loc:5000,5000,תל אביב -יפו,3,3,2128,1303,1289,14,ודעם,882,187,695,0.684251,187,1,882,0,0,0,15,0,0,0,0,26,2,51,81,0,0,0,3,14,0,1,3,15,1,7
K20,stat2011:50000731,statistical_area,stat2011:50000731,2011,50000731,731,loc:5000,5000,תל אביב -יפו,4,4,2580,1635,1623,12,אמת,482,390,92,0.296981,482,3,390,0,0,0,25,2,1,0,0,75,8,134,308,1,1,2,17,118,1,0,21,8,6,20
K20,stat2011:50000732,statistical_area,stat2011:50000732,2011,50000732,732,loc:5000,5000,תל אביב -יפו,5,5,3219,1957,1939,18,ודעם,1028,320,708,0.53017,320,6,1028,0,0,0,26,0,0,0,0,47,24,149,213,0,0,1,9,47,0,0,22,9,1,37
K20,stat2011:50000733,statistical_area,stat2011:50000733,2011,50000733,733,loc:5000,5000,תל אביב -יפו,2,2,1232,738,731,7,ודעם,366,111,255,0.500684,111,0,366,1,0,0,6,0,0,0,0,29,0,108,57,0,0,0,2,18,0,1,5,6,0,21
K20,stat2011:50000734,statistical_area,stat2011:50000734,2011,50000734,734,loc:5000,5000,תל אביב -יפו,4,4,2485,1509,1495,14,ודעם,845,224,621,0.565217,224,3,845,0,0,0,49,0,0,0,0,27,30,135,72,2,0,2,9,56,1,0,10,5,4,21
K20,stat2011:50000735,statistical_area,stat2011:50000735,2011,50000735,735,loc:5000,5000,תל אביב -יפו,5,5,2565,1371,1351,20,מחל,499,186,313,0.369356,143,7,120,0,0,2,62,1,0,0,2,104,186,499,36,1,0,1,5,59,0,3,10,22,3,85
K20,stat2011:50000736,statistical_area,stat2011:50000736,2011,50000736,736,loc:5000,5000,תל אביב -יפו,6,6,3451,1910,1886,24,מחל,594,275,319,0.314952,222,5,275,0,1,1,79,0,0,0,0,197,152,594,51,0,2,0,2,90,1,2,20,26,0,166
