election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
K17,stat1995:1061010,statistical_area,stat1995:1061010,1995,1061010,10,loc:1061,1061,נצרת עילית,12,12,7841,4221,4077,144,ל,1613,977,636,0.395634,335,35,42,4,96,3,13,105,12,83,3,30,977,4,1613,423,34,0,12,13,2,0,1,6,2,14,11,45,1,37,121
K17,stat1995:1061011,statistical_area,stat1995:1061011,1995,1061011,11,loc:1061,1061,נצרת עילית,6,6,3499,1663,1610,53,ל,651,324,327,0.404348,155,33,42,2,62,0,0,34,5,22,1,31,324,1,651,144,14,1,4,3,2,0,3,6,1,10,9,11,1,5,33
K17,stat1995:1061012,statistical_area,stat1995:1061012,1995,1061012,12,loc:1061,1061,נצרת עילית,3,3,1864,767,743,24,ל,265,143,122,0.356662,67,52,4,1,10,0,1,23,2,11,0,11,143,0,265,82,10,1,4,4,0,0,0,0,2,3,2,6,0,7,32
K17,stat1995:1063001,statistical_area,stat1995:1063001,1995,1063001,1,loc:1063,1063,מעלות-תרשיחא,9,9,5486,3425,3314,111,ל,1058,864,194,0.319252,399,13,45,2,20,2,4,80,11,113,8,28,864,2,1058,296,46,1,4,6,6,0,3,4,0,8,17,51,0,21,202
K17,stat1995:1063002,statistical_area,stat1995:1063002,1995,1063002,2,loc:1063,1063,מעלות-תרשיחא,6,6,3008,1948,1918,30,טב,439,290,149,0.228884,259,19,7,0,3,2,1,87,2,439,0,42,290,0,228,203,40,0,1,13,1,1,0,0,0,2,1,26,0,22,229
K17,stat1995:1063003,statistical_area,stat1995:1063003,1995,1063003,3,loc:1063,1063,מעלות-תרשיחא,8,8,4534,2508,2405,103,ל,811,459,352,0.337214,269,22,10,1,4,1,1,47,5,133,4,23,459,2,811,214,12,0,2,2,3,2,1,0,3,6,5,35,1,11,316
K17,stat1995:1063004,statistical_area,stat1995:1063004,1995,1063004,4,loc:1063,1063,מעלות-תרשיחא,4,4,2743,1990,1897,93,ד,754,387,367,0.39747,141,2,754,0,307,0,0,3,0,1,1,0,387,1,1,19,13,2,215,1,0,0,5,0,1,1,0,2,1,1,38
K17,stat1995:1064001,statistical_area,stat1995:1064001,1995,1064001,1,loc:1064,1064,אמירים,1,1,385,257,255,2,כן,70,66,4,0.27451,66,3,0,0,3,0,0,19,2,9,1,2,70,0,7,3,35,0,0,4,0,0,0,0,0,0,0,13,0,12,6
K17,stat1995:1065001,statistical_area,stat1995:1065001,1995,1065001,1,loc:1065,1065,זמרת,1,1,213,147,143,4,שס,78,32,46,0.545455,12,4,0,0,0,0,0,4,0,32,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,78
K17,stat1995:1066001,statistical_area,stat1995:1066001,1995,1066001,1,loc:1066,1066,"בני עי""ש",10,10,5415,3411,3335,76,ל,1243,581,662,0.372714,340,35,1,2,6,1,1,53,7,239,12,24,581,0,1243,328,22,2,2,3,8,0,3,2,4,7,12,26,0,16,355
