election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
K21,stat2011:11320001,statistical_area,stat2011:11320001,2011,11320001,1,loc:1132,1132,שניר,1,1,424,322,322,0,פה,177,59,118,0.549689,59,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,3,17,31,1,0,0,0,14,0,0,0,177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K21,stat2011:11330001,statistical_area,stat2011:11330001,2011,11330001,1,loc:1133,1133,ורדון,1,1,219,171,170,1,מחל,65,43,22,0.382353,18,2,0,0,4,0,0,0,0,3,0,0,0,0,6,0,5,65,12,7,0,0,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
K21,stat2011:11340001,statistical_area,stat2011:11340001,2011,11340001,1,loc:1134,1134,יד השמונה,1,1,163,117,117,0,פה,47,38,9,0.401709,2,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,38,2,6,0,0,1,7,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K21,stat2011:11360001,statistical_area,stat2011:11360001,2011,11360001,1,loc:1136,1136,צוחר,1,1,453,328,328,0,מחל,135,102,33,0.411585,17,2,0,0,6,0,0,0,1,13,0,0,1,0,13,0,1,135,6,13,0,0,0,5,0,0,0,102,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9
K21,stat2011:11370001,statistical_area,stat2011:11370001,2011,11370001,1,loc:1137,1137,קריית יערים,5,5,3194,2403,2384,19,ג,1632,406,1226,0.684564,7,1632,0,1,48,0,0,0,0,111,0,0,0,0,13,0,1,120,3,20,0,0,0,9,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,406
K21,stat2011:11380001,statistical_area,stat2011:11380001,2011,11380001,1,loc:1138,1138,יעד,1,1,548,427,426,1,פה,229,88,141,0.537559,77,0,0,3,1,0,0,0,0,0,1,0,0,0,4,0,2,6,88,5,0,0,0,9,0,0,0,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K21,stat2011:11390012,statistical_area,stat2011:11390012,2011,11390012,12,loc:1139,1139,כרמיאל,6,6,4011,1783,1762,21,ל,471,469,2,0.26731,55,110,9,15,56,0,1,0,1,19,1,0,0,0,55,0,471,469,21,26,0,0,2,18,5,0,0,375,0,0,0,2,0,2,0,0,1,4,0,1,2,4,37
K21,stat2011:11390013,statistical_area,stat2011:11390013,2011,11390013,13,loc:1139,1139,כרמיאל,6,6,3586,1985,1962,23,מחל,591,486,105,0.301223,42,170,1,4,67,0,1,0,2,32,1,0,0,1,84,0,486,591,22,24,1,0,1,24,6,0,1,336,0,0,1,0,2,1,0,0,0,3,0,2,3,1,52
K21,stat2011:11390014,statistical_area,stat2011:11390014,2011,11390014,14,loc:1139,1139,כרמיאל,7,7,4200,1989,1956,33,מחל,606,489,117,0.309816,46,49,8,5,46,2,0,0,2,31,0,1,1,1,98,0,489,606,25,47,0,0,0,12,10,0,0,437,0,0,0,0,0,4,0,0,1,2,1,0,0,2,30
K21,stat2011:11390021,statistical_area,stat2011:11390021,2011,11390021,21,loc:1139,1139,כרמיאל,6,6,3363,2060,2039,21,פה,690,653,37,0.338401,94,15,4,7,67,0,0,0,0,31,2,0,0,0,93,0,176,653,58,42,2,0,3,37,4,0,0,690,0,0,0,0,1,1,0,0,0,3,0,0,0,2,54
