election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,stat2011:83000223,statistical_area,stat2011:83000223,2011,83000223,223,loc:8300,8300,ראשון לציון,2,2,1341,999,994,5,פה,374,321,53,0.376258,68,10,2,0,0,0,2,87,0,0,0,0,0,0,1,32,49,321,21,1,1,0,374,0,0,0,0,1,0,0,0,24
K22,stat2011:83000224,statistical_area,stat2011:83000224,2011,83000224,224,loc:8300,8300,ראשון לציון,5,5,2998,2057,2047,10,פה,854,552,302,0.417196,157,15,2,1,0,0,4,93,0,2,0,0,0,0,1,14,269,552,38,1,0,0,854,0,2,0,0,1,3,0,1,37
K22,stat2011:83000225,statistical_area,stat2011:83000225,2011,83000225,225,loc:8300,8300,ראשון לציון,3,3,1831,1197,1189,8,פה,459,330,129,0.386039,69,13,0,1,0,0,1,70,0,1,0,0,0,0,0,13,175,330,28,0,0,0,459,0,0,0,0,1,0,0,3,25
K22,stat2011:83000311,statistical_area,stat2011:83000311,2011,83000311,311,loc:8300,8300,ראשון לציון,10,10,6284,4667,4657,10,מחל,1799,1763,36,0.3863,214,30,0,4,2,0,3,159,0,2,0,0,0,0,0,59,253,1799,96,1,0,0,1763,2,2,0,0,2,0,1,0,265
K22,stat2011:83000312,statistical_area,stat2011:83000312,2011,83000312,312,loc:8300,8300,ראשון לציון,5,5,2998,1916,1902,14,פה,765,540,225,0.402208,129,8,2,0,1,0,3,56,0,4,0,0,0,0,0,19,242,540,70,0,0,0,765,0,1,0,0,0,0,0,1,61
K22,stat2011:83000313,statistical_area,stat2011:83000313,2011,83000313,313,loc:8300,8300,ראשון לציון,8,8,4365,2598,2588,10,פה,1097,692,405,0.423879,141,8,3,1,0,0,3,74,0,0,0,0,1,0,0,14,403,692,68,2,0,0,1097,0,2,1,0,1,3,0,2,72
K22,stat2011:83000314,statistical_area,stat2011:83000314,2011,83000314,314,loc:8300,8300,ראשון לציון,5,5,2843,1468,1463,5,פה,554,404,150,0.378674,66,17,1,0,0,0,1,46,0,1,0,0,0,0,0,16,279,404,39,2,1,0,554,0,3,0,0,0,0,1,0,32
K22,stat2011:83000315,statistical_area,stat2011:83000315,2011,83000315,315,loc:8300,8300,ראשון לציון,9,9,5865,2979,2965,14,פה,1055,897,158,0.355818,150,20,1,0,2,0,1,79,0,3,1,0,1,0,0,28,580,897,66,0,1,0,1055,1,3,0,0,1,0,0,0,75
K22,stat2011:83000411,statistical_area,stat2011:83000411,2011,83000411,411,loc:8300,8300,ראשון לציון,2,2,1173,880,874,6,פה,413,265,148,0.47254,51,6,0,0,0,0,0,21,0,0,0,0,0,0,0,4,63,265,33,0,0,0,413,0,0,0,0,0,0,1,0,17
K22,stat2011:83000412,statistical_area,stat2011:83000412,2011,83000412,412,loc:8300,8300,ראשון לציון,8,8,4759,3294,3283,11,פה,1703,731,972,0.518733,284,16,8,0,0,0,0,103,1,2,0,1,0,0,0,26,239,731,126,0,0,0,1703,2,2,0,0,0,0,0,0,39
K22,stat2011:83000413,statistical_area,stat2011:83000413,2011,83000413,413,loc:8300,8300,ראשון לציון,7,7,4182,2582,2563,19,פה,1127,637,490,0.439719,165,10,3,2,0,0,2,79,0,1,0,0,1,0,0,35,374,637,72,0,0,0,1127,3,0,0,0,0,0,0,3,49
K22,stat2011:83000421,statistical_area,stat2011:83000421,2011,83000421,421,loc:8300,8300,ראשון לציון,9,9,5602,3535,3520,15,פה,1533,903,630,0.435511,227,16,5,1,0,0,2,119,1,4,0,1,0,0,0,42,469,903,121,2,1,0,1533,3,4,0,0,3,1,1,0,61
K22,stat2011:83000422,statistical_area,stat2011:83000422,2011,83000422,422,loc:8300,8300,ראשון לציון,4,4,2616,1689,1682,7,פה,742,432,310,0.441141,95,11,2,1,0,0,1,49,0,1,1,0,0,0,0,14,237,432,66,0,0,0,742,1,4,0,1,1,0,0,2,21
K22,stat2011:83000423,statistical_area,stat2011:83000423,2011,83000423,423,loc:8300,8300,ראשון לציון,3,3,2130,1354,1350,4,פה,574,387,187,0.425185,58,6,0,1,1,0,2,49,1,1,0,0,0,0,1,16,179,387,41,0,0,0,574,1,2,0,0,0,1,1,1,27
K22,stat2011:83000424,statistical_area,stat2011:83000424,2011,83000424,424,loc:8300,8300,ראשון לציון,5,5,3158,2305,2298,7,פה,1104,604,500,0.480418,171,9,1,0,0,0,0,82,0,2,0,0,0,0,0,22,145,604,107,1,0,0,1104,0,1,0,0,0,0,0,1,48
K22,stat2011:83000425,statistical_area,stat2011:83000425,2011,83000425,425,loc:8300,8300,ראשון לציון,5,5,2946,1819,1807,12,פה,762,457,305,0.421693,94,16,1,0,0,0,2,53,0,2,0,1,1,0,0,14,319,457,43,1,0,0,762,1,0,0,0,1,0,0,0,39
K22,stat2011:83000426,statistical_area,stat2011:83000426,2011,83000426,426,loc:8300,8300,ראשון לציון,7,7,3983,2514,2502,12,פה,1101,645,456,0.440048,158,5,0,0,0,0,1,85,0,4,0,0,0,0,1,21,360,645,82,1,0,0,1101,1,0,0,1,1,0,0,0,35
K22,stat2011:83000511,statistical_area,stat2011:83000511,2011,83000511,511,loc:8300,8300,ראשון לציון,7,7,4433,2374,2352,22,מחל,948,650,298,0.403061,69,21,4,1,0,0,2,99,0,2,0,0,0,0,1,28,183,948,39,3,9,0,650,1,37,2,0,1,4,2,0,246
K22,stat2011:83000512,statistical_area,stat2011:83000512,2011,83000512,512,loc:8300,8300,ראשון לציון,6,6,3297,1993,1985,8,מחל,944,394,550,0.475567,81,18,0,1,0,0,0,76,0,3,0,0,0,0,0,64,143,944,23,0,0,0,394,2,5,0,0,0,0,1,1,229
K22,stat2011:83000513,statistical_area,stat2011:83000513,2011,83000513,513,loc:8300,8300,ראשון לציון,5,5,2818,1559,1543,16,מחל,640,389,251,0.414776,59,17,1,1,0,0,0,54,0,1,0,0,0,0,2,33,189,640,10,2,0,0,389,2,14,0,0,0,2,2,3,122
K22,stat2011:83000514,statistical_area,stat2011:83000514,2011,83000514,514,loc:8300,8300,ראשון לציון,10,10,6149,4490,4484,6,פה,1845,1619,226,0.411463,224,19,2,0,1,0,4,180,0,4,0,0,0,0,0,63,253,1619,87,0,0,0,1845,2,1,0,0,0,0,0,0,180
K22,stat2011:83000515,statistical_area,stat2011:83000515,2011,83000515,515,loc:8300,8300,ראשון לציון,1,1,653,494,487,7,פה,233,132,101,0.478439,58,2,1,0,0,0,1,11,0,1,0,0,0,0,0,3,20,132,17,0,0,0,233,0,0,1,0,1,0,0,0,6
K22,stat2011:83000516,statistical_area,stat2011:83000516,2011,83000516,516,loc:8300,8300,ראשון לציון,4,4,2859,2210,2206,4,פה,915,811,104,0.414778,118,10,0,1,0,0,2,62,0,4,0,0,0,0,0,26,158,811,36,1,0,0,915,1,0,0,0,0,0,0,0,61
K22,stat2011:83000521,statistical_area,stat2011:83000521,2011,83000521,521,loc:8300,8300,ראשון לציון,6,6,3835,2693,2685,8,פה,1008,929,79,0.375419,151,18,1,1,0,0,1,89,0,1,0,0,0,0,0,27,294,929,64,0,0,0,1008,0,2,0,0,0,0,0,2,97
K22,stat2011:83000522,statistical_area,stat2011:83000522,2011,83000522,522,loc:8300,8300,ראשון לציון,7,7,3996,2801,2791,10,פה,1104,923,181,0.395557,184,15,1,2,0,0,1,73,0,3,0,0,0,0,0,35,259,923,52,0,2,0,1104,0,6,0,0,2,0,1,1,127
K22,stat2011:83000523,statistical_area,stat2011:83000523,2011,83000523,523,loc:8300,8300,ראשון לציון,4,4,2858,2072,2067,5,מחל,823,753,70,0.398162,114,8,5,0,1,0,0,72,0,2,0,1,0,0,0,27,138,823,41,1,0,0,753,2,0,0,0,0,0,0,0,79
K22,stat2011:83000524,statistical_area,stat2011:83000524,2011,83000524,524,loc:8300,8300,ראשון לציון,5,5,3414,2504,2491,13,מחל,986,859,127,0.395825,161,11,1,1,0,0,7,104,0,3,0,0,0,0,0,18,177,986,49,1,0,0,859,0,0,0,1,0,0,0,0,112
K22,stat2011:83000531,statistical_area,stat2011:83000531,2011,83000531,531,loc:8300,8300,ראשון לציון,7,7,3780,2845,2831,14,פה,1384,847,537,0.488873,197,5,0,0,0,0,0,90,0,2,0,0,0,0,0,16,154,847,61,1,0,0,1384,0,0,0,0,0,0,0,1,73
K22,stat2011:83000532,statistical_area,stat2011:83000532,2011,83000532,532,loc:8300,8300,ראשון לציון,3,3,1892,1389,1388,1,פה,597,453,144,0.430115,88,7,1,1,1,0,1,41,0,3,0,0,0,0,0,18,84,453,27,0,0,0,597,0,0,0,0,0,1,0,0,65
K22,stat2011:83000533,statistical_area,stat2011:83000533,2011,83000533,533,loc:8300,8300,ראשון לציון,6,6,3709,2758,2757,1,פה,1103,1091,12,0.400073,191,8,0,0,0,0,0,70,0,4,1,0,0,0,0,32,130,1091,46,0,0,0,1103,0,0,0,0,0,0,0,1,80
K22,stat2011:83000534,statistical_area,stat2011:83000534,2011,83000534,534,loc:8300,8300,ראשון לציון,6,6,3457,2562,2556,6,פה,998,917,81,0.390454,152,12,2,1,1,0,1,96,0,2,0,0,0,0,0,34,191,917,43,1,1,0,998,0,3,0,0,0,1,0,0,100
K22,stat2011:83000611,statistical_area,stat2011:83000611,2011,83000611,611,loc:8300,8300,ראשון לציון,3,3,2212,1629,1623,6,פה,732,580,152,0.451017,73,8,1,0,0,0,0,42,0,1,0,0,0,0,0,17,83,580,41,1,0,0,732,0,1,0,0,0,0,0,0,43
K22,stat2011:83000612,statistical_area,stat2011:83000612,2011,83000612,612,loc:8300,8300,ראשון לציון,3,3,2068,1554,1553,1,פה,675,544,131,0.434643,95,3,1,0,0,0,2,50,0,1,0,0,0,0,0,13,76,544,37,0,0,0,675,0,1,0,0,0,0,0,1,54
K22,stat2011:83000614,statistical_area,stat2011:83000614,2011,83000614,614,loc:8300,8300,ראשון לציון,6,6,4281,3115,3110,5,מחל,1326,1114,212,0.426367,140,18,2,2,0,0,4,127,0,5,0,0,0,0,0,33,143,1326,62,0,0,0,1114,1,0,0,0,0,0,0,1,132
K22,stat2011:83000615,statistical_area,stat2011:83000615,2011,83000615,615,loc:8300,8300,ראשון לציון,7,7,4124,3008,2999,9,מחל,1131,967,164,0.377126,147,47,2,1,1,0,1,141,1,0,0,0,0,0,0,58,194,1131,68,0,0,0,967,0,0,0,0,0,0,0,1,239
K22,stat2011:83000616,statistical_area,stat2011:83000616,2011,83000616,616,loc:8300,8300,ראשון לציון,5,5,3287,2319,2310,9,פה,914,848,66,0.395671,128,10,1,0,1,0,2,62,0,0,0,0,0,0,0,27,200,848,34,2,0,0,914,0,4,0,0,0,0,0,0,77
K22,stat2011:83000617,statistical_area,stat2011:83000617,2011,83000617,617,loc:8300,8300,ראשון לציון,7,7,4172,3087,3076,11,פה,1160,1118,42,0.377113,151,15,1,0,0,0,1,126,0,1,0,1,1,0,1,45,262,1118,67,0,0,0,1160,0,1,0,0,3,0,0,2,120
K22,stat2011:83000623,statistical_area,stat2011:83000623,2011,83000623,623,loc:8300,8300,ראשון לציון,8,8,5106,3335,3317,18,מחל,1422,1040,382,0.428701,187,27,5,4,1,0,2,84,0,1,0,0,1,0,1,41,320,1422,51,1,0,0,1040,0,0,0,0,1,1,1,1,125
K22,stat2011:83000624,statistical_area,stat2011:83000624,2011,83000624,624,loc:8300,8300,ראשון לציון,6,6,3517,2292,2280,12,מחל,1028,696,332,0.450877,106,33,3,0,0,0,2,73,0,0,0,0,0,0,0,22,174,1028,20,1,0,0,696,0,0,0,0,0,0,2,2,118
