source_identity,solution,geometry_target,custom_geography_id
אטרש )שבט( [965],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אבו ג'ווייעד (שבט) [967],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אפרתה,accepted_locality_match,אפרת,
פרדסיה,accepted_locality_match,פרדסייה,
סייד )שבט( [1170],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
קודייראת א-צאנע(שבט) [964],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מעלה שומרון [3637],accepted_locality_match,קרני שומרון,
הוזייל )שבט( [956],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
דבוריה,accepted_locality_match,דבורייה,
קרית ארבע,accepted_locality_match,קריית ארבע,
קבועה )שבט( [1234],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
צור יגאל [1306],accepted_locality_match,כוכב יאיר,
צורן [1308],accepted_locality_match,קדימה-צורן,
סביון,accepted_locality_match,סביון*,
חברון [3400],custom_point_size_polygon,custom:hebron,custom:hebron
רמת אפעל [1049],accepted_locality_match,רמת גן,
רמת אפעל,accepted_locality_match,רמת גן,
נווה אפרים [1062],accepted_locality_match,יהוד,
בית אריה,accepted_locality_match,בית אריה-עופרים,
קציר-חריש,historical_stat_area_pending,קציר | חריש,
ג'נאביב )שבט( [976],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
כאוכב אבו אל-היג',accepted_locality_match,כאוכב אבו אל-היג'א,
מחנה יפה [1415],special_non_geographic,special:envelope_votes,
כעביה-טבאש-חג'אג',accepted_locality_match,כעביה-טבאש-חג'אג'רה,
גבעת עדה [50],accepted_locality_match,בנימינה-גבעת עדה*,
נצאצרה )שבט( [1041],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
עוקבי )בנו עוקבה( [957],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מחנה תל נוף [1412],special_non_geographic,special:envelope_votes,
עופרה,accepted_locality_match,עפרה,
קוואעין )שבט( [972],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מסעודין אל-עזאזמה,custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
קרית יערים,accepted_locality_match,קריית יערים,
טובא-זנגריה,accepted_locality_match,טובא-זנגרייה,
נורדיה,accepted_locality_match,נורדייה,
נווה דקלים [5427],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
אסד )שבט( [960],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אבו רוקייק (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אעצם (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מחנה טלי [1418],special_non_geographic,special:envelope_votes,
מחנה יוכבד [1416],special_non_geographic,special:envelope_votes,
מחנה יהודית [1413],special_non_geographic,special:envelope_votes,
אבו קורינאת (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
תראבין א-צאנע (שבט) [970],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
חלמיש,accepted_locality_match,נווה צוף,
מחנה הילה [1411],special_non_geographic,special:envelope_votes,
דליה,accepted_locality_match,דלייה,
מחנה מרים [1414],special_non_geographic,special:envelope_votes,
ריחאניה,accepted_locality_match,ריחאנייה,
אבו רובייעה (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
גני יהודה [781],accepted_locality_match,סביון*,
נווה אפעל [2032],accepted_locality_match,רמת גן,
סייד (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
שגב,accepted_locality_match,עצמון שגב,
סתריה,accepted_locality_match,סתרייה,
קודייראת א-צאנע(ש,custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
ניסנית [5426],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
פוריה - נווה עובד,accepted_locality_match,פורייה - נווה עובד,
הוואשלה (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
עראמשה,accepted_locality_match,עראמשה*,
נווה אפעל,accepted_locality_match,רמת גן,
מעין צבי,accepted_locality_match,מעיין צבי,
עופרים [3792],accepted_locality_match,בית אריה-עופרים,
"כפר אז""ר",accepted_locality_match,רמת גן,
"כפר אז""ר [180]",accepted_locality_match,רמת גן,
עטאוונה )שבט( [969],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
רמת פנקס [883],accepted_locality_match,אור יהודה,
אבו עבדון )שבט( [958],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
מעלה שומרון,accepted_locality_match,קרני שומרון,
ביריה,accepted_locality_match,בירייה,
רמת פנקס,accepted_locality_match,אור יהודה,
