source_row_uid,election,source_locality_code,source_locality_name,source_kalpi,actual_voters,candidate_stat_area_id,evidence_method,evidence_elections,source_workbooks,known_assignment_evidence
K20:98,K20,2710,אום אל-פחם,18,463,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K20:99,K20,2710,אום אל-פחם,19,633,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx,K21:official|K22:official
K22:7675,K22,1192,ערערה-בנגב,9,344,stat2011:11920003,cbs_stable_ballot_cross_election_carry,K23,stable_ballots_k23.xlsx,K23:official
K24:11032,K24,494,דאלית אלכרמל,2.1,156,stat2011:4940003,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:11033,K24,494,דאלית אלכרמל,2.2,143,stat2011:4940003,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:11034,K24,494,דאלית אלכרמל,3.1,253,stat2011:4940001,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:11035,K24,494,דאלית אלכרמל,3.2,270,stat2011:4940001,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:11036,K24,494,דאלית אלכרמל,3.3,267,stat2011:4940001,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:11037,K24,494,דאלית אלכרמל,8.1,171,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11038,K24,494,דאלית אלכרמל,8.2,253,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11039,K24,494,דאלית אלכרמל,8.3,229,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11040,K24,494,דאלית אלכרמל,8.4,205,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11041,K24,494,דאלית אלכרמל,9.1,167,stat2011:4940004,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11042,K24,494,דאלית אלכרמל,9.2,190,stat2011:4940004,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11043,K24,494,דאלית אלכרמל,9.3,183,stat2011:4940004,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11044,K24,494,דאלית אלכרמל,10.1,185,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11045,K24,494,דאלית אלכרמל,10.2,192,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11046,K24,494,דאלית אלכרמל,10.3,189,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11047,K24,494,דאלית אלכרמל,12.1,201,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11048,K24,494,דאלית אלכרמל,12.2,233,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11049,K24,494,דאלית אלכרמל,12.3,192,stat2011:4940005,cbs_stable_ballot_cross_election_consensus,K22|K23,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K22:official|K23:official_cec_ags
K24:11050,K24,494,דאלית אלכרמל,21.1,231,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:11051,K24,494,דאלית אלכרמל,21.2,249,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:11052,K24,494,דאלית אלכרמל,21.3,295,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:11053,K24,494,דאלית אלכרמל,21.4,228,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:11054,K24,494,דאלית אלכרמל,21.5,271,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:11055,K24,494,דאלית אלכרמל,21.6,230,stat2011:4940002,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:622,K24,6700,טבריה,60,257,stat2011:67000031,cbs_stable_ballot_cross_election_carry,K25,stable_ballots_k25.xlsx,K25:official
K24:9546,K24,2710,אום אלפחם,7.1,123,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:9547,K24,2710,אום אלפחם,7.2,97,stat2011:27100013,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:9548,K24,2710,אום אלפחם,10,356,stat2011:27100032,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:9549,K24,2710,אום אלפחם,11.1,101,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9550,K24,2710,אום אלפחם,11.2,132,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9551,K24,2710,אום אלפחם,12,127,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:9552,K24,2710,אום אלפחם,14.1,208,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9553,K24,2710,אום אלפחם,14.2,155,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9554,K24,2710,אום אלפחם,14.3,148,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9555,K24,2710,אום אלפחם,18.1,195,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9556,K24,2710,אום אלפחם,18.2,157,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9557,K24,2710,אום אלפחם,18.3,153,stat2011:27100021,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9558,K24,2710,אום אלפחם,20,243,stat2011:27100033,cbs_stable_ballot_cross_election_carry,K25,stable_ballots_k25.xlsx,K25:official
K24:9559,K24,2710,אום אלפחם,21.1,202,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9560,K24,2710,אום אלפחם,21.2,221,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9561,K24,2710,אום אלפחם,21.3,193,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9562,K24,2710,אום אלפחם,21.4,226,stat2011:27100034,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9563,K24,2710,אום אלפחם,22,222,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9564,K24,2710,אום אלפחם,25,228,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9565,K24,2710,אום אלפחם,27,137,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:9566,K24,2710,אום אלפחם,28.1,155,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9567,K24,2710,אום אלפחם,28.2,162,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9568,K24,2710,אום אלפחם,28.3,128,stat2011:27100034,cbs_stable_ballot_from_official_cec_ags,K23,stable_ballots_k24.xlsx,K23:official_cec_ags
K24:9569,K24,2710,אום אלפחם,29.1,185,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9570,K24,2710,אום אלפחם,29.2,196,stat2011:27100022,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9571,K24,2710,אום אלפחם,31,224,stat2011:27100033,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9572,K24,2710,אום אלפחם,32.1,208,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9573,K24,2710,אום אלפחם,32.2,207,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9574,K24,2710,אום אלפחם,32.3,242,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K21|K22|K23|K25,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K21:official|K22:official|K23:official_cec_ags|K25:official
K24:9575,K24,2710,אום אלפחם,33,299,stat2011:27100032,cbs_stable_ballot_cross_election_consensus,K22|K23|K25,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K22:official|K23:official_cec_ags|K25:official
K24:9576,K24,2710,אום אלפחם,37,195,stat2011:27100031,cbs_stable_ballot_cross_election_consensus,K23|K25,stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,K23:official_cec_ags|K25:official
K24:9577,K24,2710,אום אלפחם,42,190,stat2011:27100033,cbs_stable_ballot_cross_election_carry,K25,stable_ballots_k25.xlsx,K25:official
K24:9578,K24,2710,אום אלפחם,43.1,161,stat2011:27100011,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
K24:9579,K24,2710,אום אלפחם,43.2,147,stat2011:27100011,cbs_stable_ballot_cross_election_consensus,K21|K22|K23,stable_ballots_k21.xlsx|stable_ballots_k22.xlsx|stable_ballots_k23.xlsx|stable_ballots_k24.xlsx,K21:official|K22:official|K23:official_cec_ags
