conflict_type,locality_code,ballot,elections,known_area_ids,source_workbooks,reason
2008_2011_transition,5000,507,K18|K19,stat2008:50000553|stat2011:50000557,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,508,K18|K19,stat2008:50000556|stat2011:50000557,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,56,K18|K19,stat2008:50000112|stat2011:50000117,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,836,K18|K19,stat2008:50000741|stat2011:50000748,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,837,K18|K19,stat2008:50000741|stat2011:50000748,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,838,K18|K19,stat2008:50000741|stat2011:50000748,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,861,K18|K19,stat2008:50000742|stat2011:50000748,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,5000,952,K18|K19,stat2008:50000111|stat2011:50000117,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,119,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,202,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,40,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,42,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,43,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,45,K18|K19,stat2008:62000211|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,6200,951,K18|K19,stat2008:62000216|stat2011:62000217,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,15,K18|K19,stat2008:6810004|stat2011:6810004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,20,K18|K19,stat2008:6810004|stat2011:6810006,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,21,K18|K19,stat2008:6810004|stat2011:6810004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,22,K18|K19,stat2008:6810004|stat2011:6810006,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,24,K18|K19,stat2008:6810004|stat2011:6810004,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,681,951,K18|K19,stat2008:6810004|stat2011:6810006,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,70,183,K18|K19,stat2008:700211|stat2011:700213,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,70,187,K18|K19,stat2008:700211|stat2011:700211,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,70,195,K18|K19,stat2008:700211|stat2011:700213,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,7400,226,K18|K19,stat2008:74000115|stat2011:74000117,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,7400,243,K18|K19,stat2008:74000115|stat2011:74000117,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8500,40,K18|K19,stat2008:85000015|stat2011:85000018,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8500,41,K18|K19,stat2008:85000015|stat2011:85000018,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8500,43,K18|K19,stat2008:85000015|stat2011:85000018,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8500,48,K18|K19,stat2008:85000016|stat2011:85000018,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,244,K18|K19,stat2008:86000413|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,245,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,246,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,247,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,248,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,251,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,8600,43,K18|K19,stat2008:86000411|stat2011:86000418,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,126,K18|K19,stat2008:90000622|stat2011:90000624,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,177,K18|K19,stat2008:90000234|stat2011:90000314,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,226,K18|K19,stat2008:90000234|stat2011:90000314,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,262,K18|K19,stat2008:90000645|stat2011:90000646,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,264,K18|K19,stat2008:90000645|stat2011:90000645,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,266,K18|K19,stat2008:90000645|stat2011:90000645,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
2008_2011_transition,9000,267,K18|K19,stat2008:90000645|stat2011:90000645,stable_ballots_k19.xlsx,Stable ballot has incompatible known areas under the official transition table
same_vintage_stable_component,3000,852,K22|K23|K24|K25,stat2011:30001625|stat2011:30001626,stable_ballots_k23.xlsx|stable_ballots_k24.xlsx|stable_ballots_k25.xlsx,Officially stable ballot component contains incompatible known 2011 areas
