geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source,display_mode,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,stat_area_count,single_stat_area,has_function_code,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids,custom_id,custom_key,lon,lat,radius_m,source_stat_area_id
stat1995:70324,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70324,1995.0,70324.0,loc:70,70.0,אשדוד,ASHDOD,324.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70325,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70325,1995.0,70325.0,loc:70,70.0,אשדוד,ASHDOD,325.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70326,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70326,1995.0,70326.0,loc:70,70.0,אשדוד,ASHDOD,326.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70331,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70331,1995.0,70331.0,loc:70,70.0,אשדוד,ASHDOD,331.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70332,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70332,1995.0,70332.0,loc:70,70.0,אשדוד,ASHDOD,332.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70333,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70333,1995.0,70333.0,loc:70,70.0,אשדוד,ASHDOD,333.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70334,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70334,1995.0,70334.0,loc:70,70.0,אשדוד,ASHDOD,334.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:70335,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:70335,1995.0,70335.0,loc:70,70.0,אשדוד,ASHDOD,335.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:71001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:71001,1995.0,71001.0,loc:71,71.0,אשבול,ESHBOL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:72001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:72001,1995.0,72001.0,loc:72,72.0,גן שמואל,GAN SHEMU'EL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:74001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:74001,1995.0,74001.0,loc:74,74.0,עין הוד,EN HOD,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:76001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:76001,1995.0,76001.0,loc:76,76.0,כפר גלעדי,KEFAR GIL'ADI,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:77001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:77001,1995.0,77001.0,loc:77,77.0,איילת השחר,AYYELET HASHAHAR,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:78001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:78001,1995.0,78001.0,loc:78,78.0,קרית ענבים,QIRYAT ANAVIM,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:79001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:79001,1995.0,79001.0,loc:79,79.0,'דגניה ב,DEGANYA BET,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:80001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:80001,1995.0,80001.0,loc:80,80.0,נהלל,NAHALAL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:82001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:82001,1995.0,82001.0,loc:82,82.0,(עין חרוד (מאוחד,EN HAROD(ME'UHAD),1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:84001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:84001,1995.0,84001.0,loc:84,84.0,תל יוסף,TEL YOSEF,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:85001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:85001,1995.0,85001.0,loc:85,85.0,כפר יחזקאל,KEFAR YEHEZQEL,1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:86001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:86001,1995.0,86001.0,loc:86,86.0,גבע,GEVA',1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat1995:88001,statistical_area,statistical_areas_1995,geographies/statistical_areas_1995.zip,stat1995:88001,1995.0,88001.0,loc:88,88.0,(בן שמן(שיכון,BEN SHEMEN(SHIKKUN),1.0,official_cbs,official_cbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
