source_row_uid,election,election_number,source_row_id,source_order,source_locality_code,source_locality_name,source_kalpi,eligible_voters,actual_voters,valid_votes,invalid_votes,is_envelope,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,locality_assignment_status,locality_geography_type,locality_geography_id,locality_result_code,locality_result_name,is_locality_mapped,custom_geography_id,is_mapped,is_geographic,final_assignment_method,final_assignment_source,assignment_evidence_class,assignment_confidence,assignment_is_synthetic_link,unresolved_reason
K17:4720,K17,17,4720,4720,,תל אביב - יפו,4390,654,424,421,3,False,118,4,1,0,15,0,0,39,0,11,1,1,100,0,11,19,56,2,0,2,0,0,2,0,0,2,0,12,0,23,2,official_crosswalk_assigned,statistical_area,stat1995:5000515,stat1995:5000515,1995,5000515,515,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4721,K17,17,4721,4721,,תל אביב - יפו,4400,672,432,429,3,False,109,15,1,0,8,1,0,44,3,12,0,2,93,0,6,27,72,0,0,3,0,0,1,0,1,1,0,12,0,12,6,official_crosswalk_assigned,statistical_area,stat1995:5000515,stat1995:5000515,1995,5000515,515,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4722,K17,17,4722,4722,,תל אביב - יפו,4410,685,461,459,2,False,129,14,0,0,12,0,0,45,1,6,0,0,112,0,3,21,82,0,0,5,0,0,0,0,0,1,0,8,0,15,5,official_crosswalk_assigned,statistical_area,stat1995:5000515,stat1995:5000515,1995,5000515,515,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4723,K17,17,4723,4723,,תל אביב - יפו,4420,564,340,337,3,False,81,7,0,0,5,1,0,44,1,11,0,0,77,0,8,15,49,0,0,1,1,1,0,0,2,0,0,13,0,15,5,official_crosswalk_assigned,statistical_area,stat1995:5000515,stat1995:5000515,1995,5000515,515,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4724,K17,17,4724,4724,,תל אביב - יפו,4430,635,361,355,6,False,72,2,2,0,3,0,0,49,1,27,3,5,89,0,10,22,37,0,0,7,0,0,1,0,0,2,1,8,0,11,3,official_crosswalk_assigned,statistical_area,stat1995:5000514,stat1995:5000514,1995,5000514,514,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4725,K17,17,4725,4725,,תל אביב - יפו,4440,766,431,423,8,False,94,4,0,0,4,0,0,42,0,19,3,1,115,1,17,25,54,0,0,3,0,0,0,0,0,0,1,12,0,18,10,official_crosswalk_assigned,statistical_area,stat1995:5000514,stat1995:5000514,1995,5000514,514,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4726,K17,17,4726,4726,,תל אביב - יפו,4450,657,352,346,6,False,99,6,0,1,8,0,0,14,2,9,1,0,80,0,8,22,63,2,0,1,0,0,0,0,0,0,0,10,0,12,8,official_crosswalk_assigned,statistical_area,stat1995:5000514,stat1995:5000514,1995,5000514,514,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4727,K17,17,4727,4727,,תל אביב - יפו,4460,557,286,286,0,False,66,4,1,0,6,0,0,36,3,14,0,1,64,0,5,25,38,0,0,0,0,0,0,0,0,0,0,7,0,12,4,official_crosswalk_assigned,statistical_area,stat1995:5000514,stat1995:5000514,1995,5000514,514,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4728,K17,17,4728,4728,,תל אביב - יפו,4470,543,262,259,3,False,67,1,1,0,2,0,0,24,0,8,0,2,52,0,2,30,21,0,0,1,0,0,0,0,0,1,0,13,0,19,15,official_crosswalk_assigned,statistical_area,stat1995:5000513,stat1995:5000513,1995,5000513,513,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4729,K17,17,4729,4729,,תל אביב - יפו,4480,731,441,431,10,False,92,9,0,0,11,0,1,32,2,14,0,2,113,0,11,41,65,0,0,1,0,0,0,0,0,0,1,11,0,14,11,official_crosswalk_assigned,statistical_area,stat1995:5000513,stat1995:5000513,1995,5000513,513,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
