path,category,election,stat_area_vintage,format,rows_or_features,bytes,sha256,description
aggregates/unresolved/k25.csv,aggregate-unresolved,K25,2011,csv,1668,581065,8b5343fdfa31e6d58dcac0768e630007995ac5255cee556f584722defc659136,K25 unresolved aggregate or review table.
ballots/k17.csv,ballot-results,K17,1995,csv,8426,3496415,6b378e8cfabef7582b163cf5842882126b219b3ba068888530b45736e1774aa8,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k18.csv,ballot-results,K18,2008,csv,9264,3817787,6020540836043532bf788b8001f41498cf573a33afb6f44e16cf1c92c142b6b3,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k19.csv,ballot-results,K19,2011,csv,10109,4155106,e53e45447a7666c60408f8f322e9bc84377b764104302ac7c3f1939a7f69320f,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k20.csv,ballot-results,K20,2011,csv,10414,4150640,b1611efe7f288f0aba5b8b872aebe5185686c2cc2c92f5a1c5f60bee00bff015,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k21.csv,ballot-results,K21,2011,csv,10765,4674852,f90dc5798c61a35ab4630f3b423fb39b63d3123727f61468f7532f72b862fdef,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k22.csv,ballot-results,K22,2011,csv,10901,4479476,db374b74035ed343bd6b4f681e5770ff7cf49910fb5873194d6b9be7e163e57e,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k23.csv,ballot-results,K23,2011,csv,11179,4539318,cf9addd941cb71eafbd89c0c02959bf618af8a013c148bf8ee32e754c9fca76c,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k24.csv,ballot-results,K24,2011,csv,12926,5675225,c6c9fcf19074dfc8f57e0d276462804b3a64c8d63a8a6e8b78462ad441d3f947,Complete ballot-row vote table with statistical and locality join IDs.
ballots/k25.csv,ballot-results,K25,2011,csv,12545,5494251,1990f086d008a808c2423774b38b69975890ecd00221abce4fa7669f6cb304bd,Complete ballot-row vote table with statistical and locality join IDs.
geographies/composite_localities.csv,geography-metadata,,reviewed,csv,100,38995,bc8cd5c073e077f341ea7f0266da866f6a8da0ba8fbcfa9ef64fb82dbb6e7d34,Feature metadata and join IDs for composite_localities.
geographies/composite_localities.zip,geography-package,,reviewed,zip,100,1255602,f7222f8f2873b412b687ba4a55556a311d244ccf29c58a68abb0a0684a7c116f,Full-resolution GeoJSON and metadata for composite_localities.
geographies/custom_geographies.csv,geography-metadata,,reviewed,csv,4,1307,cc4b1b5565a11b0bfd8729e2b14f3c33dbad20b4c6a00b31200f871bb31682e6,Feature metadata and join IDs for custom_geographies.
geographies/custom_geographies.zip,geography-package,,reviewed,zip,4,14174,ab1d97ee2d44b8df96eacb665d2905c2a8b1d221b98a21b1b81757a66579d63f,Full-resolution GeoJSON and metadata for custom_geographies.
geographies/localities_2022.csv,geography-metadata,,2022,csv,1387,275427,168d328f55eba6079b3d02e3cc5f68becb158d7ae36b88b34c9097efeecde7da,Feature metadata and join IDs for localities_2022.
geographies/localities_2022.zip,geography-package,,2022,zip,1387,36115778,b093c4008589d11b64cb76bb1635756d41b4c54563fd6c0424de65fc0f220892,Full-resolution GeoJSON and metadata for localities_2022.
geographies/statistical_areas_1995.csv,geography-metadata,,1995,csv,2660,511971,877efe3dc4a3a2d85ba098c736ddacf3515740bdeb597af209ee611110419f5a,Feature metadata and join IDs for statistical_areas_1995.
geographies/statistical_areas_1995.zip,geography-package,,1995,zip,2660,4731931,7ef4f0765c02a3a97159de01f168d822aeec2e6e9f8bd3f8e27ee0baa7d15868,Full-resolution GeoJSON and metadata for statistical_areas_1995.
geographies/statistical_areas_2008.csv,geography-metadata,,2008,csv,3030,594131,373d1dee73fda22a42d962a25070f89376f591ca6888d2bb861eac187a30acae,Feature metadata and join IDs for statistical_areas_2008.
geographies/statistical_areas_2008.zip,geography-package,,2008,zip,3030,7351823,d26d4f00b60b1826c2d465fef11953305f1404538b53076b5c190e9c05caefcf,Full-resolution GeoJSON and metadata for statistical_areas_2008.
geographies/statistical_areas_2011.csv,geography-metadata,,2011,csv,3113,613484,4d999e7121aa1f5744fd5c65f41015198a1979dc9c8328b6aa7ac8abd095df82,Feature metadata and join IDs for statistical_areas_2011.
geographies/statistical_areas_2011.zip,geography-package,,2011,zip,3113,13438252,9e911228d4b515684f46aedd1ccf09a8b42c71395da3a45fe06e4685f8e6da04,Full-resolution GeoJSON and metadata for statistical_areas_2011.
geographies/statistical_areas_2022.csv,geography-metadata,,2022,csv,3857,818142,f30980fa68550ed5be3d9717f3ea3467de71273014d804742880249449c55c33,Feature metadata and join IDs for statistical_areas_2022.
geographies/statistical_areas_2022.zip,geography-package,,2022,zip,3857,39526690,ddb21bd8a8315291b5170a961b14e5e74c2b221e6f3ddaf3f7ed6f6398a42c28,Full-resolution GeoJSON and metadata for statistical_areas_2022.
metadata/arcgis_reconstruction_reviews.csv,assignment-provenance,,,csv,44,14276,8bdfb1fa7020407d2f98253c732a8f63d16af960437f1199acff4255c53912c9,Reviewed locality-election decisions for inferred ArcGIS residual assignments.
metadata/coverage.csv,metadata,,,csv,9,2153,96bdb2992f8dee1d3fa37a126698407fe36b824c4df1f728ff240aa9786246eb,Per-election statistical and locality mapping coverage.
metadata/elections.csv,metadata,,,csv,9,1511,50a458587a5de8941d14a899b58ce2cabc4bbcc974366c2296c39ade0588624a,"Election years, active statistical-area vintages, and principal download paths."
metadata/geographies.csv,metadata,,,csv,14151,3356376,6979f40c7c47048ca81d37187b5dbe4e9dd0e7193765d5e27d7c48947b171e24,Combined lookup for every published geography ID and package.
metadata/parties.csv,metadata,,,csv,309,144901,59e641886cc1bc59210c979bffb10f0eeed9d17491aea8d7ba6ab645e05271a1,Election-specific party/list lookup keyed by election and source_column; no map colors.
