geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:10700001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10700001,2011,10700001,loc:1070,1070,אביעזר,AVI'EZER,1,official_cbs,official_cbs
stat2011:10710001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10710001,2011,10710001,loc:1071,1071,נווה מיכאל,NEWE MIKHA'EL,1,official_cbs,official_cbs
stat2011:10720001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10720001,2011,10720001,loc:1072,1072,גן הדרום,GAN HADAROM,1,official_cbs,official_cbs
stat2011:10760001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10760001,2011,10760001,loc:1076,1076,בית ברל,BET BERL,1,official_cbs,official_cbs
stat2011:10770001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10770001,2011,10770001,loc:1077,1077,גבעת שפירא,GIV'AT SHAPPIRA,1,official_cbs,official_cbs
stat2011:10790001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10790001,2011,10790001,loc:1079,1079,צפרירים,ZAFRIRIM,1,official_cbs,official_cbs
stat2011:10800001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10800001,2011,10800001,loc:1080,1080,מבועים,MABBU'IM,1,official_cbs,official_cbs
stat2011:10810001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10810001,2011,10810001,loc:1081,1081,אבן מנחם,EVEN MENAHEM,1,official_cbs,official_cbs
stat2011:10820001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10820001,2011,10820001,loc:1082,1082,מעגלים,MA'GALIM,1,official_cbs,official_cbs
stat2011:10830001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10830001,2011,10830001,loc:1083,1083,תושייה,TUSHIYYA,1,official_cbs,official_cbs
stat2011:10840001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10840001,2011,10840001,loc:1084,1084,בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR),1,official_cbs,official_cbs
stat2011:10850001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10850001,2011,10850001,loc:1085,1085,כרם שלום,KEREM SHALOM,1,official_cbs,official_cbs
stat2011:10940001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10940001,2011,10940001,loc:1094,1094,כרם יבנה (ישיבה),KEREM YAVNE(YESHIVA),1,official_cbs,official_cbs
stat2011:10950001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10950001,2011,10950001,loc:1095,1095,כפר מימון,KEFAR MAYMON,1,official_cbs,official_cbs
stat2011:10980001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:10980001,2011,10980001,loc:1098,1098,מרכז שפירא,MERKAZ SHAPPIRA,1,official_cbs,official_cbs
stat2011:11020001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11020001,2011,11020001,loc:1102,1102,צוקי ים,ZUQI YAM,1,official_cbs,official_cbs
stat2011:11030001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11030001,2011,11030001,loc:1103,1103,גני הדר,GANNE HADAR,1,official_cbs,official_cbs
stat2011:11040001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11040001,2011,11040001,loc:1104,1104,פורייה - כפר עבודה,PORIYYA-KEFAR AVODA,1,official_cbs,official_cbs
stat2011:11050001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11050001,2011,11050001,loc:1105,1105,פורייה - נווה עובד,PORIYYA-NEWE OVED,1,official_cbs,official_cbs
stat2011:11080001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11080001,2011,11080001,loc:1108,1108,אומן,OMEN,1,official_cbs,official_cbs
stat2011:11100001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11100001,2011,11100001,loc:1110,1110,חבר,HEVER,1,official_cbs,official_cbs
stat2011:11110001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11110001,2011,11110001,loc:1111,1111,צופייה,ZOFIYYA,1,official_cbs,official_cbs
stat2011:11120001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11120001,2011,11120001,loc:1112,1112,יודפת,YODEFAT,1,official_cbs,official_cbs
stat2011:11130001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11130001,2011,11130001,loc:1113,1113,צור הדסה,ZUR HADASSA,1,official_cbs,official_cbs
stat2011:11140001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11140001,2011,11140001,loc:1114,1114,שריגים (לי-און),SARIGIM (LI-ON),1,official_cbs,official_cbs
stat2011:11150001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11150001,2011,11150001,loc:1115,1115,אביבים,AVIVIM,1,official_cbs,official_cbs
stat2011:11170001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11170001,2011,11170001,loc:1117,1117,יעל,YA'EL,1,official_cbs,official_cbs
stat2011:11230001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11230001,2011,11230001,loc:1123,1123,אדרת,ADDERET,1,official_cbs,official_cbs
stat2011:11240001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11240001,2011,11240001,loc:1124,1124,נאות הכיכר,NE'OT HAKIKKAR,1,official_cbs,official_cbs
stat2011:11250001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11250001,2011,11250001,loc:1125,1125,אלמגור,ALMAGOR,1,official_cbs,official_cbs
stat2011:11260001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11260001,2011,11260001,loc:1126,1126,אילות,ELOT,1,official_cbs,official_cbs
stat2011:11270001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11270001,2011,11270001,loc:1127,1127,מעלה גלבוע,MA'ALE GILBOA,1,official_cbs,official_cbs
stat2011:11280001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11280001,2011,11280001,loc:1128,1128,מי עמי,ME AMMI,1,official_cbs,official_cbs
stat2011:11290001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11290001,2011,11290001,loc:1129,1129,גרופית,GEROFIT,1,official_cbs,official_cbs
stat2011:11300001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11300001,2011,11300001,loc:1130,1130,כפר רוזנואלד (זרעית),KEFAR ROZENWALD(ZARIT),1,official_cbs,official_cbs
stat2011:11320001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11320001,2011,11320001,loc:1132,1132,שניר,SENIR,1,official_cbs,official_cbs
stat2011:11330001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11330001,2011,11330001,loc:1133,1133,ורדון,WARDON,1,official_cbs,official_cbs
stat2011:11340001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11340001,2011,11340001,loc:1134,1134,יד השמונה,YAD HASHEMONA,1,official_cbs,official_cbs
stat2011:11360001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11360001,2011,11360001,loc:1136,1136,צוחר,ZOHAR,1,official_cbs,official_cbs
stat2011:11370001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11370001,2011,11370001,loc:1137,1137,קריית יערים,QIRYAT YE'ARIM,1,official_cbs,official_cbs
stat2011:11380001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11380001,2011,11380001,loc:1138,1138,יעד,YA'AD,1,official_cbs,official_cbs
stat2011:11390011,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390011,2011,11390011,loc:1139,1139,כרמיאל,KARMI'EL,11,official_cbs,official_cbs
stat2011:11390012,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390012,2011,11390012,loc:1139,1139,כרמיאל,KARMI'EL,12,official_cbs,official_cbs
stat2011:11390013,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390013,2011,11390013,loc:1139,1139,כרמיאל,KARMI'EL,13,official_cbs,official_cbs
