geography_id,geography_type,geography_package,geometry_archive,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,display_mode,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids
composite:joined-k20-889,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-889,K20,כפר חסידים ב',כפר חסידים ב',KEFAR HASIDIM BET,889|890,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,889,,confirmed,explicit_source_location,כפר הנוער הדתי,KEFAR HANO'AR HADATI,loc:889|loc:890
composite:joined-k20-1024,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1024,K20,חרוצים,חרוצים,HARUZIM,1024|412,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1024,,confirmed,explicit_source_location,קריית שלמה,QIRYAT SHELOMO,loc:1024|loc:412
composite:joined-k20-1084,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1084,K20,בן שמן (כפר נוער),בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR),1084|88,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1084,,confirmed,explicit_source_location,כרם בן שמן,KEREM BEN SHEMEN,loc:1084|loc:88
composite:joined-k20-1114,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1114,K20,שריגים (לי-און),שריגים (לי-און),SARIGIM (LI-ON),1114|1325,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1114,,confirmed,explicit_source_location,כפר זוהרים,KEFAR ZOHARIM,loc:1114|loc:1325
composite:joined-k20-1137,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1137,K20,קריית יערים,קריית יערים,QIRYAT YE'ARIM,1137|2039,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1137,,confirmed,explicit_source_location,קריית יערים (מוסד),QIRYAT YE'ARIM(INSTITUTE),loc:1137|loc:2039
composite:joined-k20-1140,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1140,K20,מדרשת בן גוריון,מדרשת בן גוריון,MIDRESHET BEN GURION,1140|1373,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1140,,confirmed,explicit_source_location,שלווה במדבר,SHALVA BAMIDBAR,loc:1140|loc:1373
composite:joined-k20-1156,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1156,K20,סמר,סמר,SAMAR,1156|1248,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1156,,confirmed,explicit_source_location,אליפז,ELIFAZ,loc:1156|loc:1248
composite:joined-k20-1172,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1172,K20,תובל,תובל,TUVAL,1172|1185,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1172,,confirmed,explicit_source_location,פלך,PELEKH,loc:1172|loc:1185
composite:joined-k20-1177,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1177,K20,טללים,טללים,TELALIM,1177|1341,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1177,,confirmed,explicit_source_location,רוח מדבר,RUAH MIDBAR,loc:1177|loc:1341
composite:joined-k20-1188,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-1188,K20,אשחר,אשחר,ESHHAR,1188|1276,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,1188,,confirmed,explicit_source_location,אשבל,ESHBAL,loc:1188|loc:1276
