geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_name_he,locality_name_en,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,locality_id,stat_area_id
stat2022:3920001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,392,קדמה,QEDMA,1.0,3920001,,,5.0,1880.2704607286773,217657.39849018687,loc:392,stat2022:3920001
stat2022:3930001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,393,גלאון,GAL'ON,1.0,3930001,,,1.0,3248.0966416884467,456329.6969046741,loc:393,stat2022:3930001
stat2022:3940001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,394,שובל,SHOVAL,1.0,3940001,,,1.0,3733.7464219787216,750439.0431778423,loc:394,stat2022:3940001
stat2022:3950001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,395,משמר הנגב,MISHMAR HANEGEV,1.0,3950001,,,1.0,4987.560908594521,787060.0721065452,loc:395,stat2022:3950001
stat2022:3960001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,396,נבטים,NEVATIM,1.0,3960001,,,1.0,7311.297816945811,2841986.4986089915,loc:396,stat2022:3960001
stat2022:3970001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,397,חצרים,HAZERIM,1.0,3970001,,,1.0,3149.8582420695484,723381.3765687484,loc:397,stat2022:3970001
stat2022:3980001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,398,שרשרת,SHARSHERET,1.0,3980001,,,1.0,6168.996233639369,2257629.6930997088,loc:398,stat2022:3980001
stat2022:3990001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,399,בארי,BE'ERI,1.0,3990001,,,1.0,3369.2912628776994,668601.66987458,loc:399,stat2022:3990001
stat2022:4000001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,400,אבן שמואל,EVEN SHEMU'EL,1.0,4000001,,,1.0,3656.0059927078987,678119.6484765484,loc:400,stat2022:4000001
stat2022:4020001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,402,ניר יצחק,NIR YIZHAQ,1.0,4020001,,,1.0,3674.937112192473,742742.273031683,loc:402,stat2022:4020001
stat2022:4030001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,403,אורים,URIM,1.0,4030001,,,1.0,2636.303318904242,419762.08263355994,loc:403,stat2022:4030001
stat2022:4050001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,405,נווה אילן,NEWE ILAN,1.0,4050001,,,1.0,4222.227232656814,377065.735395504,loc:405,stat2022:4050001
stat2022:4060001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,406,חצור-אשדוד,HAZOR-ASHDOD,1.0,4060001,,,1.0,4061.705843178608,637563.0736187345,loc:406,stat2022:4060001
stat2022:4070001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,407,דברת,DAVERAT,1.0,4070001,,,1.0,2777.9039880051896,378745.9727848467,loc:407,stat2022:4070001
stat2022:4080001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,408,נאות מרדכי,NE'OT MORDEKHAY,1.0,4080001,,,1.0,3101.5672312975676,537082.8208151228,loc:408,stat2022:4080001
stat2022:4090001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,409,יחיעם,YEHI'AM,1.0,4090001,,,1.0,3960.3831511579297,702498.0909787946,loc:409,stat2022:4090001
stat2022:4120001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,412,קריית שלמה,QIRYAT SHELOMO,1.0,4120001,,,1.0,547.2563066750913,17661.75697589888,loc:412,stat2022:4120001
stat2022:4130001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,413,צאלים,ZE'ELIM,1.0,4130001,,,1.0,3435.1482583151223,697960.9387715433,loc:413,stat2022:4130001
stat2022:4140001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,414,קלחים,QELAHIM,1.0,4140001,,,1.0,9230.47198297517,3642056.8637122316,loc:414,stat2022:4140001
stat2022:4150001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,415,שוקדה,SHOQEDA,1.0,4150001,,,1.0,3803.4798285949655,643429.4053025716,loc:415,stat2022:4150001
stat2022:4160001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,416,מעיין ברוך,MA'YAN BARUKH,1.0,4160001,,,1.0,3091.6914833288097,546254.5708792658,loc:416,stat2022:4160001
stat2022:4170001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,417,יקום,YAQUM,1.0,4170001,,,1.0,3945.7985345702714,606444.1127066299,loc:417,stat2022:4170001
stat2022:4180001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,418,בני ציון,BENE ZIYYON,1.0,4180001,,,1.0,6199.95875110129,1764023.314117851,loc:418,stat2022:4180001
stat2022:4190001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,419,סעד,SA'AD,1.0,4190001,,,1.0,4496.339535729817,896115.4292504855,loc:419,stat2022:4190001
stat2022:4210001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,421,משאבי שדה,MASH'ABBE SADE,1.0,4210001,,,1.0,3516.7824003826895,617808.418626202,loc:421,stat2022:4210001
stat2022:4220001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,422,חרב לאת,HEREV LE'ET,1.0,4220001,,,1.0,6848.958567158956,796398.9739211255,loc:422,stat2022:4220001
stat2022:4230001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,423,העוגן,HAOGEN,1.0,4230001,,,1.0,2571.6551472525143,397716.35013050406,loc:423,stat2022:4230001
stat2022:4240001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,424,גבים,GEVIM,1.0,4240001,,,1.0,5159.443882845576,1069328.3480996224,loc:424,stat2022:4240001
stat2022:4250001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,425,משמרת,MISHMERET,1.0,4250001,,,1.0,6977.3345139129,2152135.3847446437,loc:425,stat2022:4250001
stat2022:4260001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,426,עין כרמל,EN KARMEL,1.0,4260001,,,1.0,3154.158764473938,475521.21739765763,loc:426,stat2022:4260001
stat2022:4270001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,427,כפר גלים,KEFAR GALLIM,1.0,4270001,,,5.0,2544.6958534657315,370077.05026569526,loc:427,stat2022:4270001
stat2022:4280001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,428,ברור חיל,BEROR HAYIL,1.0,4280001,,,1.0,5581.878600783051,1037491.4082702858,loc:428,stat2022:4280001
stat2022:4290001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,429,אלוני אבא,ALLONE ABBA,1.0,4290001,,,1.0,4607.039460547507,1134645.7244630365,loc:429,stat2022:4290001
