source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס,unresolved_reason
K22:411,K22,411,478,אכסאל,12,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,764,458,458,0,4,0,426,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,5,0,0,0,12,0,0,1,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:412,K22,412,478,אכסאל,13,no_direct_historical_assignment,statistical_area_pending,,,,,,,478,אכסאל,,historical_stat_area_pending,automatic_code_match,714,445,441,4,1,0,424,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,4,0,0,0,5,0,0,0,0,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:502,K22,502,529,אעבלין,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,715,462,457,5,5,1,392,0,0,0,0,2,0,1,0,0,0,0,0,0,12,4,18,0,0,0,21,0,0,0,1,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:503,K22,503,529,אעבלין,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,776,429,421,8,7,0,330,0,0,0,0,3,0,0,0,0,13,0,0,0,20,3,11,0,0,0,31,0,0,1,0,1,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:504,K22,504,529,אעבלין,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,792,509,508,1,22,0,374,0,0,0,0,1,0,0,0,0,0,0,2,0,20,9,40,1,1,0,36,0,0,0,0,0,0,1,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:505,K22,505,529,אעבלין,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,787,514,512,2,18,2,429,0,0,0,0,0,0,0,1,0,0,0,2,0,9,5,16,0,0,0,26,0,0,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:506,K22,506,529,אעבלין,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,728,483,481,2,14,0,386,1,0,0,0,1,0,0,1,0,0,0,1,1,15,5,28,0,0,0,25,0,2,0,0,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:507,K22,507,529,אעבלין,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,794,477,477,0,15,0,391,1,0,0,0,0,1,0,0,0,0,0,0,1,22,4,13,0,1,0,27,0,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:508,K22,508,529,אעבלין,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,742,461,454,7,2,0,405,0,0,0,0,2,0,0,2,0,0,0,0,1,6,4,12,0,0,0,17,2,0,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:509,K22,509,529,אעבלין,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,765,501,497,4,1,0,444,1,0,0,0,0,0,0,0,0,0,0,3,0,3,5,14,0,1,0,23,0,0,1,0,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:510,K22,510,529,אעבלין,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,668,375,371,4,7,0,289,0,0,0,1,1,0,0,2,0,2,0,2,1,5,6,19,0,0,0,32,0,0,1,0,0,0,0,1,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:511,K22,511,529,אעבלין,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,766,458,454,4,8,0,384,1,0,0,0,0,0,0,1,0,0,0,6,0,4,1,17,0,3,0,29,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:512,K22,512,529,אעבלין,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,687,439,436,3,3,0,378,0,0,0,0,1,0,0,0,0,0,0,1,0,15,3,9,0,0,0,24,0,0,0,0,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:513,K22,513,529,אעבלין,12.1,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,402,268,265,3,6,0,235,1,0,0,0,1,0,0,0,0,0,0,1,0,5,2,9,0,0,0,4,0,0,0,1,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:514,K22,514,529,אעבלין,12.2,no_direct_historical_assignment,statistical_area_pending,,,,,,,529,אעבלין,,historical_stat_area_pending,automatic_code_match,402,296,296,0,0,1,282,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1054,K22,1054,6000,באקה אל-גרביה,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,674,393,388,5,0,0,368,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,11,0,0,0,4,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1055,K22,1055,6000,באקה אל-גרביה,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,636,370,368,2,1,0,342,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,14,0,0,0,2,1,0,0,1,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1056,K22,1056,6000,באקה אל-גרביה,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,614,365,361,4,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1057,K22,1057,6000,באקה אל-גרביה,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,652,317,315,2,0,0,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,7,0,0,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1058,K22,1058,6000,באקה אל-גרביה,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,667,347,347,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1059,K22,1059,6000,באקה אל-גרביה,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,547,305,303,2,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,4,1,0,0,0,0,1,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1060,K22,1060,6000,באקה אל-גרביה,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,631,336,333,3,0,0,321,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1061,K22,1061,6000,באקה אל-גרביה,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,586,387,383,4,0,0,362,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,11,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1062,K22,1062,6000,באקה אל-גרביה,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,608,327,326,1,1,0,314,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1063,K22,1063,6000,באקה אל-גרביה,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,583,351,351,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,13,0,0,0,3,0,0,0,0,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1064,K22,1064,6000,באקה אל-גרביה,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,649,392,387,5,2,0,361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,11,0,0,0,7,0,0,0,0,1,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
