source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס,unresolved_reason
K18:888,K18,888,6000,באקה-ג'ת,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,726,342,337,5,7,1,0,0,120,0,21,0,0,0,0,0,0,0,1,0,3,0,0,0,0,178,0,0,0,0,0,0,6,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:889,K18,889,6000,באקה-ג'ת,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,715,348,342,6,20,0,0,0,121,0,19,0,0,1,0,0,1,0,0,0,2,0,0,0,0,172,0,0,0,0,0,0,5,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:890,K18,890,6000,באקה-ג'ת,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,reviewed_component_locality_override,648,273,264,9,7,0,0,1,108,0,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,132,0,0,0,0,0,0,3,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:891,K18,891,6000,באקה-ג'ת,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,731,353,342,11,10,0,0,0,116,0,22,0,0,1,0,0,0,1,1,1,2,0,0,0,0,178,0,0,1,0,3,0,6,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:892,K18,892,6000,באקה-ג'ת,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,745,391,380,11,7,0,0,0,128,0,13,0,0,0,0,0,1,0,0,1,4,0,0,1,0,209,0,0,1,0,2,0,13,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:893,K18,893,6000,באקה-ג'ת,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,730,354,348,6,4,0,0,0,137,0,23,0,0,1,1,0,0,0,0,2,1,0,0,0,0,175,0,0,0,1,0,0,2,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:894,K18,894,6000,באקה-ג'ת,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,594,310,306,4,12,0,0,0,116,0,16,0,1,0,0,0,0,1,2,1,2,0,0,0,0,153,0,0,0,0,1,0,1,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:895,K18,895,6000,באקה-ג'ת,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,646,351,345,6,20,0,0,0,141,0,21,0,0,2,0,0,0,1,0,0,0,0,0,0,0,158,0,0,0,0,1,1,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:896,K18,896,6000,באקה-ג'ת,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,734,362,356,6,18,0,0,0,119,0,8,0,0,1,0,0,0,3,0,1,0,0,0,0,0,204,0,0,0,0,1,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:897,K18,897,6000,באקה-ג'ת,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,679,312,312,0,18,0,0,0,137,0,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,145,0,0,0,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
