source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,unresolved_reason
K21:1061,K21,1061,6000,באקה אל-גרביה,18,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,699,279,272,7,0,1,88,144,0,0,0,0,0,0,0,0,0,0,0,1,0,2,19,0,0,0,2,0,1,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1062,K21,1062,6000,באקה אל-גרביה,19,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,678,318,316,2,0,0,102,177,0,0,0,0,0,0,0,0,0,0,1,0,0,2,23,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1063,K21,1063,6000,באקה אל-גרביה,20,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,700,252,250,2,0,0,106,109,0,0,0,0,0,0,0,0,0,0,2,1,0,2,13,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1064,K21,1064,6000,באקה אל-גרביה,21,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,704,278,272,6,0,0,120,131,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1065,K21,1065,6000,באקה אל-גרביה,22,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,712,300,299,1,2,0,98,107,0,0,0,0,0,1,0,0,0,0,16,0,0,2,45,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1066,K21,1066,6000,באקה אל-גרביה,23,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,679,302,300,2,1,0,112,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1067,K21,1067,6000,באקה אל-גרביה,24,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,701,328,321,7,2,0,124,133,0,0,0,0,0,0,0,0,0,0,13,0,0,0,34,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1068,K21,1068,6000,באקה אל-גרביה,25,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,657,321,314,7,2,0,123,151,0,0,0,0,0,0,0,0,0,0,1,0,0,2,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1069,K21,1069,6000,באקה אל-גרביה,26,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,654,254,252,2,1,0,109,99,0,0,0,0,0,0,0,0,0,0,5,0,0,2,18,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1070,K21,1070,6000,באקה אל-גרביה,27,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,671,253,248,5,0,0,79,108,0,0,0,0,0,0,0,0,0,0,2,0,1,0,24,0,0,0,1,1,0,0,1,25,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1418,K21,1418,480,בית ג'ן,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,728,385,382,3,16,0,1,3,0,0,0,0,0,9,0,0,0,0,14,0,5,20,227,9,0,0,0,1,3,0,0,56,0,0,0,0,0,2,0,0,0,0,0,0,1,1,14,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1419,K21,1419,480,בית ג'ן,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,782,397,393,4,17,0,1,4,0,0,0,0,1,3,0,0,0,0,1,0,3,12,263,5,0,0,1,2,1,0,0,58,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1420,K21,1420,480,בית ג'ן,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,735,426,423,3,8,0,0,9,0,0,0,0,0,4,0,0,0,0,3,0,14,14,290,1,0,0,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1421,K21,1421,480,בית ג'ן,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,759,399,399,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,16,26,255,0,0,0,1,0,0,0,0,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1422,K21,1422,480,בית ג'ן,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,708,375,373,2,13,0,0,1,0,0,0,0,0,5,0,0,0,0,4,0,6,20,237,1,1,0,0,0,0,0,1,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1423,K21,1423,480,בית ג'ן,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,739,498,498,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,10,288,4,1,0,0,1,0,0,0,135,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1424,K21,1424,480,בית ג'ן,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,776,434,432,2,4,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0,16,10,316,1,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1425,K21,1425,480,בית ג'ן,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,652,457,457,0,34,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,4,13,328,0,0,0,0,1,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1426,K21,1426,480,בית ג'ן,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,699,422,413,9,35,0,1,3,0,0,0,0,0,6,0,0,0,0,5,0,9,7,273,0,0,0,0,0,1,0,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1427,K21,1427,480,בית ג'ן,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,701,376,375,1,16,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,12,10,220,2,0,0,0,0,0,0,0,97,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1428,K21,1428,480,בית ג'ן,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,616,345,343,2,6,1,0,10,0,0,0,0,0,2,0,0,0,0,3,0,9,14,216,1,0,0,0,1,0,0,0,75,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:1429,K21,1429,480,בית ג'ן,12,no_direct_historical_assignment,statistical_area_pending,,,,,,,480,בית ג'ן,,historical_stat_area_pending,automatic_code_match,670,409,409,0,7,0,6,12,0,0,0,0,0,0,0,0,0,0,2,0,8,3,262,2,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2122,K21,2122,1292,ג'דיידה-מכר,1,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,598,249,243,6,2,0,56,143,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,1,0,0,0,0,1,0,0,15,0,0,0,1,0,6,0,0,1,0,0,0,0,1,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2123,K21,2123,1292,ג'דיידה-מכר,2,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,743,308,303,5,1,0,78,202,0,1,0,0,0,0,0,0,0,1,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2124,K21,2124,1292,ג'דיידה-מכר,3,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,710,315,313,2,1,0,58,193,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,1,0,0,0,1,0,0,9,0,0,0,0,0,23,0,0,1,0,0,0,0,2,10,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2125,K21,2125,1292,ג'דיידה-מכר,4,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,728,368,364,4,3,0,84,257,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2126,K21,2126,1292,ג'דיידה-מכר,5,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,701,354,352,2,2,1,58,236,1,0,0,0,0,2,1,0,0,0,0,0,1,3,21,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2127,K21,2127,1292,ג'דיידה-מכר,6,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,676,288,284,4,0,0,87,171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2128,K21,2128,1292,ג'דיידה-מכר,7,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,721,336,335,1,4,0,72,183,0,0,0,0,0,0,0,0,1,0,2,0,0,1,19,0,0,0,0,0,0,0,0,9,0,0,0,1,0,11,0,0,1,1,0,0,1,28,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2129,K21,2129,1292,ג'דיידה-מכר,8,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,754,322,318,4,2,0,76,192,0,0,0,0,0,0,0,0,0,0,0,1,0,5,16,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,14,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2130,K21,2130,1292,ג'דיידה-מכר,9,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,741,342,334,8,7,0,98,181,0,0,0,0,0,0,0,0,0,0,2,0,0,1,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,16,1,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2131,K21,2131,1292,ג'דיידה-מכר,10,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,740,314,309,5,1,0,88,183,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,1,2,11,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K21:2132,K21,2132,1292,ג'דיידה-מכר,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,1292,ג'דיידה-מכר,,historical_stat_area_pending,automatic_code_match,700,370,366,4,4,0,105,227,0,0,0,0,0,1,0,0,0,1,0,0,0,2,13,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,6,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
