source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,address_match_status,address_query,unresolved_reason
K20:105,K20,105,2710,אום אל-פחם,25,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,462,367,366,1,1,0,360,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:106,K20,106,2710,אום אל-פחם,26,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,549,373,371,2,2,0,360,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:107,K20,107,2710,אום אל-פחם,27,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,418,267,266,1,1,0,262,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:108,K20,108,2710,אום אל-פחם,28,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,676,377,373,4,0,0,364,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:109,K20,109,2710,אום אל-פחם,29,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,647,396,394,2,1,0,381,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:110,K20,110,2710,אום אל-פחם,30,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,540,366,360,6,2,0,345,0,0,1,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:111,K20,111,2710,אום אל-פחם,31,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,467,374,374,0,1,0,357,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:112,K20,112,2710,אום אל-פחם,32,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,442,302,298,4,1,0,293,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:113,K20,113,2710,אום אל-פחם,33,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,758,539,537,2,0,0,529,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:114,K20,114,2710,אום אל-פחם,34,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,459,348,348,0,5,0,340,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
