source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,unresolved_reason
K17:81,K17,81,,מעטפות כפולות,1810,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1187,1165,22,164,11,1,0,3,2,5,47,9,92,4,9,293,1,109,131,61,4,3,10,0,1,0,0,1,2,1,79,0,55,67,Non-geographic row is counted but not mapped
K17:82,K17,82,,מעטפות כפולות,1820,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1202,1185,17,135,6,2,0,6,2,9,60,10,97,3,6,322,1,137,140,67,2,0,7,0,1,3,0,0,0,1,49,1,61,57,Non-geographic row is counted but not mapped
K17:83,K17,83,,מעטפות כפולות,1830,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1203,1178,25,146,9,0,1,1,1,11,33,2,106,2,13,306,0,120,105,55,3,2,12,1,0,2,2,0,3,2,99,1,48,92,Non-geographic row is counted but not mapped
K17:84,K17,84,,מעטפות כפולות,1840,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1199,1176,23,165,22,25,2,22,0,10,51,6,96,4,9,283,2,145,95,29,1,16,12,1,1,3,1,1,3,2,44,1,26,98,Non-geographic row is counted but not mapped
K17:85,K17,85,,מעטפות כפולות,1850,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1190,1159,31,147,27,5,2,6,2,4,62,8,107,1,8,281,0,92,125,43,2,11,7,0,1,2,0,0,1,0,61,1,53,100,Non-geographic row is counted but not mapped
K17:86,K17,86,,מעטפות כפולות,1860,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1201,1193,8,166,96,7,1,6,1,8,41,2,204,2,30,208,1,93,101,37,1,2,7,1,1,0,0,0,0,2,21,0,26,128,Non-geographic row is counted but not mapped
K17:87,K17,87,,מעטפות כפולות,1870,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1161,1139,22,157,13,2,0,1,1,6,33,5,99,2,11,282,3,113,117,69,2,2,8,0,1,0,0,1,1,0,82,0,58,70,Non-geographic row is counted but not mapped
K17:88,K17,88,,מעטפות כפולות,1880,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1190,1178,12,161,37,4,1,4,0,6,72,5,106,3,27,243,0,99,107,59,2,15,7,1,1,2,1,1,0,2,67,3,31,111,Non-geographic row is counted but not mapped
K17:89,K17,89,,מעטפות כפולות,1890,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1182,18,141,43,7,0,18,0,6,67,6,147,3,16,224,0,99,119,57,0,16,6,0,0,0,0,3,2,0,27,1,44,130,Non-geographic row is counted but not mapped
K17:90,K17,90,,מעטפות כפולות,1900,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1207,1189,18,156,15,1,0,5,1,8,46,9,135,4,15,260,0,111,124,57,3,3,14,0,0,1,1,1,2,0,72,0,51,94,Non-geographic row is counted but not mapped
K17:91,K17,91,,מעטפות כפולות,1910,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1193,1170,23,138,10,2,0,3,1,3,48,4,104,0,9,325,0,101,140,46,1,1,14,1,0,4,1,0,0,2,67,1,62,82,Non-geographic row is counted but not mapped
K17:92,K17,92,,מעטפות כפולות,1920,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1180,20,182,25,5,0,3,0,7,85,1,105,2,18,287,2,78,134,48,2,6,6,0,0,4,0,1,3,2,42,1,52,79,Non-geographic row is counted but not mapped
K17:93,K17,93,,מעטפות כפולות,1930,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1210,1193,17,168,12,4,1,2,0,4,71,4,101,2,16,295,1,121,134,55,1,3,10,1,0,0,1,0,3,1,56,0,36,90,Non-geographic row is counted but not mapped
K17:94,K17,94,,מעטפות כפולות,1940,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1174,1157,17,158,1,6,1,11,3,8,65,5,118,3,21,253,0,121,118,62,4,20,11,0,3,0,0,0,3,1,53,0,50,58,Non-geographic row is counted but not mapped
K17:95,K17,95,,מעטפות כפולות,1950,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1207,1197,10,152,55,8,0,4,1,2,52,9,146,2,5,257,0,126,106,45,2,12,13,1,0,1,0,0,4,2,61,0,49,82,Non-geographic row is counted but not mapped
K17:96,K17,96,,מעטפות כפולות,1960,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1190,1171,19,156,7,6,1,10,0,12,70,8,96,5,22,245,0,123,102,59,2,6,11,2,0,1,0,0,2,1,92,0,50,82,Non-geographic row is counted but not mapped
K17:97,K17,97,,מעטפות כפולות,1970,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1205,1188,17,155,13,3,0,1,0,8,60,7,157,2,12,277,0,85,127,77,2,0,7,0,1,2,0,0,1,0,53,1,28,109,Non-geographic row is counted but not mapped
K17:98,K17,98,,מעטפות כפולות,1980,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1211,1197,14,198,5,14,1,2,0,5,54,5,111,2,17,301,0,83,120,50,1,26,7,0,1,3,0,0,1,0,69,1,48,72,Non-geographic row is counted but not mapped
K17:99,K17,99,,מעטפות כפולות,1990,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1203,1188,15,162,8,5,5,7,1,3,44,3,148,2,14,301,1,97,115,63,0,5,22,0,0,0,0,0,1,1,58,1,39,82,Non-geographic row is counted but not mapped
K17:100,K17,100,,מעטפות כפולות,2000,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1193,1169,24,143,27,4,1,2,1,10,49,6,157,1,23,247,0,90,126,63,5,12,12,1,2,0,0,1,2,0,55,0,46,83,Non-geographic row is counted but not mapped
K17:101,K17,101,,מעטפות כפולות,2010,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1201,1173,28,151,7,11,0,8,1,7,55,4,111,3,18,281,1,111,128,68,2,11,6,0,0,3,1,1,0,0,55,0,48,81,Non-geographic row is counted but not mapped
K17:102,K17,102,,מעטפות כפולות,2020,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1193,1167,26,143,38,5,0,6,0,5,33,2,122,3,18,258,2,86,126,44,1,20,8,0,3,3,0,0,0,1,59,5,38,138,Non-geographic row is counted but not mapped
K17:103,K17,103,,מעטפות כפולות,2030,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1202,1190,12,148,15,1,4,3,0,3,54,5,97,3,13,320,0,104,113,69,4,5,12,0,3,3,0,1,1,0,63,0,49,97,Non-geographic row is counted but not mapped
K17:104,K17,104,,מעטפות כפולות,2040,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1190,1171,19,141,12,3,0,2,1,6,48,7,136,3,15,263,0,85,133,66,4,3,8,2,2,2,0,2,0,0,65,1,53,108,Non-geographic row is counted but not mapped
K17:105,K17,105,,מעטפות כפולות,2050,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1212,1189,23,169,28,2,0,3,7,0,72,7,120,4,14,276,0,96,104,54,2,4,12,1,0,0,0,1,2,0,79,1,47,84,Non-geographic row is counted but not mapped
K17:106,K17,106,,מעטפות כפולות,2060,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1191,9,161,11,2,0,1,0,8,40,6,136,3,23,255,0,106,131,52,3,5,8,1,1,0,0,0,1,3,74,0,54,106,Non-geographic row is counted but not mapped
K17:107,K17,107,,מעטפות כפולות,2070,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1162,1147,15,181,30,1,1,2,0,5,49,4,105,3,6,256,0,90,135,57,3,3,12,2,3,1,0,0,3,0,83,0,43,69,Non-geographic row is counted but not mapped
K17:108,K17,108,,מעטפות כפולות,2080,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1202,1183,19,166,98,5,1,6,0,3,60,8,118,0,12,238,1,80,124,47,3,8,9,0,0,0,0,1,3,0,24,1,41,126,Non-geographic row is counted but not mapped
K17:109,K17,109,,מעטפות כפולות,2090,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1188,1168,20,171,9,8,1,15,0,3,58,5,103,3,10,292,2,112,123,53,2,5,16,0,0,0,0,0,0,2,50,1,52,72,Non-geographic row is counted but not mapped
K17:110,K17,110,,מעטפות כפולות,2100,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1187,1136,51,195,22,4,1,4,0,5,45,6,99,3,12,359,1,64,94,77,1,3,11,1,0,0,0,2,1,4,34,0,29,59,Non-geographic row is counted but not mapped
K17:111,K17,111,,מעטפות כפולות,2110,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1190,10,149,11,10,0,13,3,10,75,3,167,2,11,265,2,63,138,61,1,19,11,0,2,1,1,1,0,1,54,0,44,72,Non-geographic row is counted but not mapped
K17:112,K17,112,,מעטפות כפולות,2120,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1204,1191,13,152,15,3,0,4,2,6,52,10,153,3,18,239,1,123,136,57,4,3,9,0,1,1,0,0,2,1,66,2,37,91,Non-geographic row is counted but not mapped
K17:113,K17,113,,מעטפות כפולות,2130,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1198,1181,17,144,60,3,2,6,0,4,54,8,102,3,12,269,1,106,136,46,3,1,7,0,0,1,1,0,0,1,53,1,50,107,Non-geographic row is counted but not mapped
K17:114,K17,114,,מעטפות כפולות,2140,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1188,12,202,10,4,0,3,0,5,72,5,102,1,17,287,1,90,128,62,2,10,9,1,0,0,0,0,0,2,50,1,39,85,Non-geographic row is counted but not mapped
K17:115,K17,115,,מעטפות כפולות,2150,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1176,24,152,9,26,0,42,1,6,50,4,105,2,13,257,0,97,119,60,3,27,6,0,3,0,0,0,2,0,53,1,38,100,Non-geographic row is counted but not mapped
K17:116,K17,116,,מעטפות כפולות,2160,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1201,1187,14,159,28,0,0,4,2,4,58,7,88,6,18,269,0,110,133,76,2,1,6,0,1,1,0,0,0,0,63,1,70,80,Non-geographic row is counted but not mapped
K17:117,K17,117,,מעטפות כפולות,2170,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1201,1179,22,155,7,5,0,3,0,2,48,2,135,3,10,248,1,117,134,66,2,5,10,0,2,1,2,2,2,2,69,1,58,87,Non-geographic row is counted but not mapped
